feature,importance
FLAG_DOCUMENT_15,6.4154881196965405
REG_REGION_NOT_LIVE_REGION,4.080946797264111
AMT_REQ_CREDIT_BUREAU_WEEK,2.961043564826813
INS_PAYMENT_DIFF_MEAN,2.7304733455908363
NAME_EDUCATION_TYPE,2.666670445857254
ANNUITY_INCOME_RATIO,2.557925644089723
DAYS_LAST_PHONE_CHANGE,2.492745506293391
FLAG_DOCUMENT_8,2.4563172452290734
INS_LATE_COUNT,2.4137447939100345
FLAG_DOCUMENT_18,2.412064445493467
NAME_CONTRACT_TYPE,2.1482995182668816
FLOORSMAX_MEDI,2.1103754655087945
EXT_SOURCE_2,2.1034324622670897
FLAG_MOBIL,2.0844108632254246
EXT_SOURCE_MEAN,2.0718803490646525
PREV_APPROVED_COUNT,2.023807520937002
EXT_SOURCE_PROD,2.0205414784143243
FLAG_DOCUMENT_16,2.0125783706803255
FLAG_DOCUMENT_6,1.9943696005023448
REGION_POPULATION_RELATIVE,1.9397976276860474
REG_REGION_NOT_WORK_REGION,1.9031571606144224
BUREAU_AMT_CREDIT_SUM,1.8994119565451186
EXT_SOURCE_3,1.8346766501426421
BUREAU_AMT_DEBT_SUM,1.81475556678227
REG_CITY_NOT_LIVE_CITY,1.8064614607933003
AMT_INCOME_TOTAL,1.6792029227058214
FLAG_EMP_PHONE,1.6619583959557627
FLAG_EMAIL,1.6359248266511335
CREDIT_INCOME_RATIO,1.5436287873152326
BUREAU_LOAN_COUNT,1.4786293535481456
CC_UTILIZATION,1.3850556422280795
CC_COUNT,1.3326288636720771
EMERGENCYSTATE_MODE,1.3292274189066215
CNT_FAM_MEMBERS,1.317474541575626
FLAG_DOCUMENT_9,1.3044632227938604
LIVE_REGION_NOT_WORK_REGION,1.2315622681565432
DAYS_BIRTH,1.2212188041776535
FLAG_DOCUMENT_13,1.208935056384925
INS_DAYS_LATE_MAX,1.1263247369600549
LIVE_CITY_NOT_WORK_CITY,1.0894321024784832
CODE_GENDER,1.0391684133173285
DAYS_EMPLOYED,0.9619289962822795
DAYS_ID_PUBLISH,0.9382983668804831
POS_COUNT,0.8874379004946202
REG_CITY_NOT_WORK_CITY,0.8580813443798956
NAME_HOUSING_TYPE,0.798291999605671
FLAG_CONT_MOBILE,0.7859011572532577
YEARS_BEGINEXPLUATATION_AVG,0.7537843199787988
DEF_30_CNT_SOCIAL_CIRCLE,0.7191082080895854
FLAG_DOCUMENT_5,0.6814930475665878
EMPLOYMENT_YEARS,0.6443504244530266
PREV_AMT_CREDIT_MEAN,0.6400847662538862
PREV_REFUSED_COUNT,0.6394726025079971
CC_BALANCE_MEAN,0.6048704022893706
POS_DPD_MEAN,0.6022153150422815
AGE_YEARS,0.5527832769121589
POS_DPD_MAX,0.48741497138410206
AMT_REQ_CREDIT_BUREAU_DAY,0.4734400820691021
AMT_CREDIT,0.4477799082577805
DAYS_REGISTRATION,0.42577847804229835
EXT_SOURCE_MAX,0.3776056293455912
FLAG_DOCUMENT_3,0.36506855801008803
FLAG_DOCUMENT_11,0.29714637507160135
ORGANIZATION_TYPE,0.23170996078317405
CREDIT_TERM,0.1681058918497784
AMT_ANNUITY,0.16504716387020255
YEARS_BEGINEXPLUATATION_MODE,0.16493465771903687
TOTALAREA_MODE,0.1312205063549005
AMT_REQ_CREDIT_BUREAU_YEAR,0.13000688886926687
NAME_FAMILY_STATUS,0.11133054731688687
HOUR_APPR_PROCESS_START,0.09216835827167182
FLAG_OWN_REALTY,0.07533529588999334
REGION_RATING_CLIENT,0.07119376812271837
FLAG_DOCUMENT_14,0.06786473428344195
OCCUPATION_TYPE,0.05791199236315777
BUREAU_DPD_MAX,0.05464549357401043
FLAG_WORK_PHONE,0.053174947165322964
OBS_60_CNT_SOCIAL_CIRCLE,0.04978848308506245
CNT_CHILDREN,0.0419907037975521
PREV_APP_COUNT,0.04170794125954106
CC_DPD_MAX,0.03018027664323425
BUREAU_ACTIVE_COUNT,0.02949091837763971
DOCUMENTS_PROVIDED_COUNT,0.020612806746148266
YEARS_BEGINEXPLUATATION_MEDI,0.008780128773402911
AMT_REQ_CREDIT_BUREAU_MON,0.0074333979616716325
FLOORSMAX_MODE,0.006500170620152526
CONTACT_INFO_COUNT,0.0045234424689855075
FLAG_OWN_CAR,0.003164773894520816
REGION_RATING_CLIENT_W_CITY,0.002851112992128529
INS_LATE_RATIO,0.0020482809984915407
AMT_REQ_CREDIT_BUREAU_QRT,0.0018044044339335596
FLOORSMAX_AVG,0.001227567741769192
FLAG_PHONE,0.0006700995974296771
OBS_30_CNT_SOCIAL_CIRCLE,4.95206657226505e-05
DEF_60_CNT_SOCIAL_CIRCLE,1.8901224718227178e-05
NAME_INCOME_TYPE,8.136150928778399e-07
AMT_GOODS_PRICE,0.0
WEEKDAY_APPR_PROCESS_START,0.0
NAME_TYPE_SUITE,0.0
FLAG_DOCUMENT_20,0.0
